,VAL_CUSTO_CONTABIL
2017-03-31,1154631.2100000002
2017-04-01,123952.83
2017-04-02,0.0
2017-04-03,145951.73
2017-04-04,97933.63
2017-04-05,79696.34
2017-04-06,266629.54
2017-04-07,312449.43
2017-04-08,13000.0
2017-04-09,0.0
2017-04-10,613735.39
2017-04-11,161300.34
2017-04-12,489555.06
2017-04-13,616165.9500000001
2017-04-14,0.0
2017-04-15,335657.08999999997
2017-04-16,0.0
2017-04-17,696455.2699999999
2017-04-18,247053.35
2017-04-19,593890.7499999999
2017-04-20,731844.13
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,723457.6399999999
2017-04-25,254868.74
2017-04-26,364942.19
2017-04-27,443145.85
2017-04-28,2177005.2699999977
2017-04-29,552378.5
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,564118.97
2017-05-03,338679.47
2017-05-04,186202.96
2017-05-05,208119.22
2017-05-06,39654.6
2017-05-07,0.0
2017-05-08,335069.37
2017-05-09,413838.18999999994
2017-05-10,251163.80000000002
2017-05-11,167760.61
2017-05-12,625030.96
2017-05-13,54000.0
2017-05-14,0.0
2017-05-15,278527.35000000003
2017-05-16,759837.57
2017-05-17,767286.2000000001
2017-05-18,412526.63
2017-05-19,417385.55000000005
2017-05-20,18000.0
2017-05-21,0.0
2017-05-22,305233.3
2017-05-23,709108.0499999999
2017-05-24,365653.47
2017-05-25,647387.3799999999
2017-05-26,583091.86
2017-05-27,190258.24
2017-05-28,0.0
2017-05-29,1081106.4
2017-05-30,850815.94
2017-05-31,1719854.21
2017-06-01,153000.0
2017-06-02,294871.08
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,578720.73
2017-06-06,354641.5900000001
2017-06-07,284578.02999999997
2017-06-08,80375.70000000001
2017-06-09,373729.37000000005
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,530521.14
2017-06-13,114264.32999999999
2017-06-14,472502.23
2017-06-15,0.0
2017-06-16,538567.24
2017-06-17,25000.0
2017-06-18,0.0
2017-06-19,484825.57000000007
2017-06-20,345974.48
2017-06-21,196404.08000000002
2017-06-22,626451.78
2017-06-23,359619.93
2017-06-24,167416.07
2017-06-25,0.0
2017-06-26,386299.07999999996
2017-06-27,320228.52
2017-06-28,1124186.3799999997
2017-06-29,994889.1699999999
2017-06-30,1661153.1799999997
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,245920.9
2017-07-04,645777.98
2017-07-05,471712.35000000003
2017-07-06,457388.22
2017-07-07,269409.48
2017-07-08,31500.0
2017-07-09,0.0
2017-07-10,226935.44999999998
2017-07-11,303659.14
2017-07-12,305765.16
2017-07-13,5695154.61
2017-07-14,213578.7
2017-07-15,99709.84
2017-07-16,0.0
2017-07-17,322124.27
2017-07-18,262223.01
2017-07-19,170446.77
2017-07-20,432713.39
2017-07-21,2391882.290000001
2017-07-22,9500.0
2017-07-23,0.0
